n_gpus,node,strategy,workload,replica,experiment_name,parallelism,label,concurrency,request_throughput,output_token_throughput,output_token_throughput_user,total_token_throughput,request_latency_avg,request_latency_p50,request_latency_p90,request_latency_p99,request_latency_std,ttft_avg,ttft_p50,ttft_p99,time_to_second_token_avg,inter_token_latency_avg,inter_token_latency_p50,inter_token_latency_p99,output_sequence_length_avg,input_sequence_length_avg,request_count,benchmark_duration
2,tupi,PP,short,r1,N2_tupi_PP_short_r1_796872,PP,TUPI N2 PP Short,16,5.251676821046001,672.083341173362,44.503024060545144,1344.29797426725,3044.04395514375,3066.5631865,3176.47332,3201.05629326,138.51435876754073,187.7179080625,121.01940099999999,405.26800850999996,64.42893993749999,22.49524812143638,22.059301307086617,24.595521997322834,127.975,128.0,160.0,30.466459657
2,tupi,PP,short,r1,N2_tupi_PP_short_r1_796872,PP,TUPI N2 PP Short,32,8.925752291473184,1142.3847214049242,37.74445470642846,2284.881014713492,3580.19729021875,3487.1731725,3894.2747913000067,4163.91636943,235.23433672392974,210.6759058125,107.882712,851.8245525,76.06989475625,26.534274314752988,26.60055257480315,29.22699938622047,127.9875,128.0,320.0,35.851319816
2,tupi,TP,long,r1,N2_tupi_TP_long_r1_795649,TP,TUPI N2 TP Long,1,0.06582335271210599,33.31100469583977,43.97028084601454,100.7141178730363,15186.590524899999,15176.238443,15241.5560166,15379.369844149998,61.94387084250192,3699.828514433333,3681.8306585,3891.26494602,22.307530899999996,22.744435565487862,22.708574444554454,23.22909381737242,506.06666666666666,1024.0,30.0,455.765298544
2,tupi,TP,long,r1,N2_tupi_TP_long_r1_795649,TP,TUPI N2 TP Long,2,0.09231174868106219,46.792825406430424,32.00143395456705,141.3200560558381,21658.000675799998,21670.7561875,21810.2121837,21857.73343022,108.34946435796203,5642.961798866667,7292.6349064999995,7379.271165319999,1737.1618577666666,31.656082673468624,28.729059251714244,36.05388004337076,506.9,1024.0,30.0,324.985718813
2,tupi,TP,long,r1,N2_tupi_TP_long_r1_795649,TP,TUPI N2 TP Long,4,0.11848246836725525,59.943242808703616,19.122814286395023,181.27225247848216,33751.723066975,33756.000041499996,33898.2224982,37412.75639822,1640.124920613166,7098.345794524999,7362.175953999999,14694.68614279,2778.3196888499997,52.78709932229336,52.28973885022591,60.07380848628152,505.925,1024.025,40.0,337.60268967400003
2,tupi,TP,long,r1,N2_tupi_TP_long_r1_795649,TP,TUPI N2 TP Long,8,0.13992252015599185,71.14010731031016,10.906443174543263,214.4207679500458,57158.1552529375,57142.2772985,60785.460417999995,71710.07408892,4897.918242105101,9977.150461725,7409.518368999999,29398.64844445,3535.4882131874997,92.98501487799629,97.29373693346379,106.23485281388592,508.425,1024.0,80.0,571.744990805
2,tupi,TP,long,r1,N2_tupi_TP_long_r1_795649,TP,TUPI N2 TP Long,16,0.20243531712320037,102.71441468757985,8.076112015417795,310.0094446424691,78983.354681425,70502.22578749999,110349.8246195,146092.97437010997,31069.59003415877,10063.37578410625,3862.695323,57961.7969149,3031.61329111875,136.09444437348833,120.03856872887756,201.166043477737,507.39375,1024.00625,160.0,790.375919942
2,tupi,TP,long,r1,N2_tupi_TP_long_r1_795649,TP,TUPI N2 TP Long,32,0.28024714438798487,142.16324594174122,5.16241537508397,429.13807333969015,114098.1076266125,89691.43997149999,205337.97070190005,294844.61479684,53705.18859385908,8822.332929993749,520.257518,108931.00602932001,1592.89782315,207.98222034037863,176.48068965506639,383.04964742175645,507.278125,1024.00625,320.0,1141.849279852
2,tupi,TP,short,r1,N2_tupi_TP_short_r1_796872,TP,TUPI N2 TP Short,1,0.294448129192925,37.6893605366944,44.39667461796293,75.3787210733888,3394.2514674666663,3394.7864775,3437.0197161999995,3455.31818655,33.843811261010956,533.310931,531.838156,547.99182096,22.248110066666666,22.527090838320202,22.553738232283465,22.98999639622047,128.0,128.0,30.0,101.885517433
2,tupi,TP,short,r1,N2_tupi_TP_short_r1_796872,TP,TUPI N2 TP Short,2,0.43317752610636506,55.44672334161473,33.72861462229406,110.89344668322946,4614.493943899999,4610.1219255,4653.457167,4661.917131329999,29.242017958204638,832.9110086,1043.1417075,1069.72102599,245.34814143333332,29.77624358503937,28.391491952755903,32.39456169047244,128.0,128.0,30.0,69.255670463
