experiment_name,display_name,parallelism,machine_name,node_name,timestamp,gpu_utilization,memory_used_mib,power_draw_w,temperature_gpu_c
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.761,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.861,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.961,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.061,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.161,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.261,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.362,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.462,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.562,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.662,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.762,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.863,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:59.963,0,4,26.81,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.063,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.163,0,4,26.96,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:00.263,0,4,26.96,27
